DatabaseName,ParentSchema,ParentTable,ColumnName,ColumnOrder,DataType,ColumnSize,ConstraintType,ChildSchema,ChildTable,ChildColumn
,main,fraud_detection_cases,evidence_data,6,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,fraud_score,7,numeric,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,financial_impact,8,numeric,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,status,9,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,severity,10,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,assigned_admin_id,11,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,assigned_admin_id,11,integer,NULL,FOREIGN KEY,main,users,id
,main,fraud_detection_cases,investigation_notes,12,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,detected_at,13,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,resolved_at,14,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,resolution_data,15,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,ip_address,16,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,user_agent,17,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,device_fingerprint,18,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,location_data,19,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,created_at,20,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,updated_at,21,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,fraud_detection_logs,escrow_account_id,2,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,escrow_account_id,2,integer,NULL,FOREIGN KEY,main,escrow_accounts,id
,main,fraud_detection_logs,user_id,3,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,user_id,3,integer,NULL,FOREIGN KEY,main,users,id
,main,fraud_detection_logs,detection_type,4,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,risk_score,5,numeric,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,detection_data,6,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,action_taken,7,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,notes,8,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,false_positive,9,tinyint,1,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,created_at,10,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_logs,updated_at,11,datetime,NULL,NULL,NULL,NULL,NULL
